Designator,Mid X,Mid Y,Rotation,Layer
C1,123.45,-65.18,0.0,bottom
C2,102.95,-82.38,180.0,top
C3,107.86,-82.23,270.0,bottom
D1,124.51,-73.03,270.0,top
D2,104.27,-73.0125,270.0,top
D3,104.3,-87.0325,270.0,top
D4,124.73,-87.42,270.0,top
D5,117.19,-84.9425,270.0,top
D6,111.24,-83.3025,270.0,bottom
J1,128.36,-72.85,0.0,top
J2,100.38,-72.835,0.0,top
J3,100.35,-87.115,0.0,top
J4,128.5,-87.195,0.0,top
J5,115.14,-93.485,0.0,top
J6,100.25,-80.23,0.0,top
MOSFET1,124.43615,-78.664,180.0,top
MOSFET2,104.36615,-79.194,180.0,top
MOSFET3,108.0285,-87.05,0.0,top
MOSFET4,121.07,-87.15,0.0,top
R1,122.36,-82.43,180.0,bottom
R10,107.97,-87.68,0.0,bottom
R11,104.71,-70.95,180.0,bottom
R12,121.89,-80.78,90.0,bottom
R13,109.73,-73.36,180.0,bottom
R14,109.73,-74.53,0.0,bottom
R16,112.87,-88.13,180.0,bottom
R17,117.54,-88.37,0.0,bottom
R2,103.07,-78.87,0.0,bottom
R3,108.485,-89.305,270.0,bottom
R4,104.17,-72.69,270.0,bottom
R5,106.0,-76.24,270.0,bottom
R6,109.13,-76.98,270.0,bottom
R7,118.42,-66.64,90.0,bottom
R8,111.25,-67.2,0.0,bottom
R9,105.09,-78.93,180.0,bottom
SW1,107.38,-67.16,0.0,bottom
SW2,121.88,-67.74,0.0,bottom
U1,109.717483,-70.760102,180.0,bottom
U2,113.810191,-70.783018,0.0,bottom
U3,114.28,-71.775019,0.0,top
U4,104.65,-82.39,180.0,bottom
